Id,Title,Developer,Publisher,Year,Country,Platform,Genre,Engine,Description
,Deadly Rooms of Death,Erik Hermansen,Webfoot Technologies,1996,USA,Windows | Linux | Mac,Puzzle,,
,Super Mario 64,Nintendo,Nintendo,1996,Japan,N64,Platformer,,
,The Space Under the Window,Andrew Plotkin,Self published,1997,USA,Windows,Interactive Fiction,,
,Photopia,Adam Cadre,Self published,1998,USA,Windows,Interactive Fiction,Z-machine,
,Liero,Joosa Riekkinen,,1998,Finland,MS-DOS,Multiplayer Action,,
,Varicella,Adam Cadre,Self published,1999,USA,Windows,Interactive Fiction,Z-machine,
,Aisle,Sam Barlow,Self published,1999,UK,Windows,Interactive Fiction,Z-machine,
,Galatea,Emily Short,Self published,2000,USA,Windows,Interactive Fiction,Z-machine,
,Uplink,Chris Delay | Mark Morris | Thomas Arundel,Introversion Software,2001,UK,Windows | Linux | Mac,Hacking | Simulation,,
,Alien Hominid,Tom Fulp | Dan Paladin,O3 Entertainment,2002,USA,Flash,Action,Flash,
,Warning Forever,Hikoza T Ohkubo,Self published,2003,Japan,Windows,Shoot em up,,
,Samorost,Jakub Dvosky | Amanita Design,Self published,2003,Czech Republic,Flash,Point and click | Adventure,Flash,
,Kingdom of Loathing,Asymmetric Publications,,2003,,,,,
,A Tale in the Desert,Desert Nomad Studios,,2003,,,,,
,Truck Dismount,Jetro Lauha,,2003,,,,,
,The Chzo Mythos: 5 Days a Stranger,Ben "Yahtzee" Croshaw,,2003,,,,,
,Cave Story,Pixel,Self published,2004,,,,,
,Tumiki Fighters,Kenta Cho,,2004,,,,,
,Aveyond,Amaranth Games,,2004,,,,,
,Outpost Kaloki,Ninja Bee,,2004,,,,,
,Yume Nikki,Kikiyama,,2004,,,,,
,Darwinia,Chris Delay,,2005,,,,,
,Gish,Edmund McMillen | Alex Austin,,2005,,,,,
,Facade,Michael Mateas | Andrew Stern,,2005,,,,,
,N,Metanet Software,,2005,,,,,
,Battle for Wesneth,David White,,2005,,,,,
,Nikujin,Ikiki,,2005,,,,,
,Oasis,Mind Control Software,,2005,,,,,
,The Endless Forest,Tale of Tales,,2005,,,,,
,Professor Fizzwizzle,Grubby Games,,2005,,,,,
,Punishment,Messhof,,2005,,,,,
,Lugaru,David Rosen,,2005,,,,,
,fl0w,Jenova Chen,,2006,,,,,
,Dwarf Fortress,Zach Adams | Tarn Adams,,2006,,,,,
,The Shivah,Wadjet Eye Games,,2006,,,,,
,Toribash,Nabi Studios,,2006,,,,,
,Cloud,Jenova Chen,,2006,,,,,
,Knytt,Nifflas,,2006,,,,,
,Armadillo Run,Peter Stock,,2006,,,,,
,Blocksum,Circle Infotech,,2006,,,,,
,Sam N' Max: Episode One,Telltale,,2006,,,,,
,La Mulana,Takumi Naramura,,2006,,,,,
,Echoes,Binary Zoo,,2006,,,,,
,Eets,Klei Entertainment,,2006,,,,,
,Dungeon Crawl Stone Soup,DCSS Devteam,,2006,,,,,
,Peacemaker,Tim Sweeney | Eric Brown | Asi Burak,,2007,,,,,
,Penumbra,Fictional Games,,2007,,,,,
,Chocolate Castle,Joseph White,,2007,,,,,
,Immortal Defense,Paul Eres | Jeanne Thornton | Caoimhe Harlock | Long Dao,,2007,,,,,
,Mr. Robot,Moondpod,,2007,,,,,
,Chalk,Konjak,,2007,,,,,
,Clean Asia,Jonatan Soderstrom,,2007,,,,,
,Death Worm,JTR,,2007,,,,,
,Mount and Blade,TaleWorlds Entertainment,,2008,,,,,
,Cortex Command,Data Realms,,2008,,,,,
,De Blob,Blue Tongue Entertainment,,2008,,,,,
